en	ron
toad	pwoɗak
snail	andák
tortoise	àkùr
fish (gen.)	gwoʃé
bird	ɗeéʃ
nest	àwúrì
cattle egret	kapíyà
crested crane	ŋarát
crow	ahaŋ
dove	àrugutùm
pigeon	àmbóɓóp
bush fowl	nukwé
eagle	àkìm
hawk, falcon	àgbwèr (hawk), akpakpóŋ (falcon)
kite (black-)	ahwálá
ostrich	asyawá
owl	àwùmà
bat	aɗesés (small sp.), àtàránjò (big sp.)
ant (big, black)	àtágàrà
ant (red)	púrí tí gúròm
"ant (small,
black)"	anzényet
ant-hill	agandáw
termite	yuw
termite mound	agandáw
housefly	akúkwyaŋ
mosquito	awareŋ
wasp	àhàr â gimbit
butterfly	àlàk á bìbìl
caterpillar	jijíríŋ
centipede	ŋgyer tí canan
worm (gen.)	rùmbùs (larvae), anzúr (worm)
bug	àwareŋ
louse	tí’
flea	húsí
tick	tundús
cricket	akáwen
grasshopper	àràŋgàʃ, kaká’, laŋgáʃ
locust	tuwál
spider	àʃáŋàŋ, yiw
cobweb	lá tà ʃáŋàŋ
mantis	gigyalóŋ
scorpion	ŋgyer
sting, quill	aɗúl
sting (bee, ant, scorpion)	têf
"domestic
animal"	yé’, safát
female animal	atís
male animal	awus
horse	púrí
mare	atís á púrí
dog	káɓwì
cat	mus
cattle	randóŋ
cow	atís á randóŋ
bull	awus á randóŋ
calf	wí ti randóŋ
goat	dàràm
she-goat	atís á dàràm
he-goat	arúk
kid	wúy á dàràm
sheep	tumó
ewe	atís á tumó
ram	andúr
wether	ligés
pig	ŋgiʃ, àládè
sow	atís á ŋgiʃ
enclosure	àrì, kpùk, ahólóŋ
stick	ahó’
chicken	caán
chick	wi ti caán
cock	kurúŋgòŋ
guinea-fowl	rukúm
meat	lîw
horn	njél
tail	burtúŋ
egg	hó’
wing	kurú
feather	ʃáŋ
crop (bird)	aŋgóròt, murgiʃ
dung	fi’ á safát
bee	àmòt
bee-keeper	naáf a wó’ àmòt
bee-hive	puk á mòt
honey	ayin á mòt
queen bee	atís á mòt
fishing net	àjùjuk
hook	baŋger á ger goʃé
fisherman	naáf á ger goʃé
hunt	war
hunter	naáf á war
individual hunt	war
communal hunt	war
trap (pitfall)	kaziriŋ
snare (trap)	daŋgor, akpwéŋ (door of a cage trap)
arrow	nvyâ
bow (weapon)	arúk
quiver	la nvyà
spear	tay
knife	yiʃúk
club	àkwàrè
gun	boroŋ
sling	áŋgbàŋ
war	ɓúr
shield	ŋgurî
helmet	akámbùt
spur	àgirgya
riding-whip	úʃoréŋ
bush	àyaw, áw
forest	àriw
grass	ʃala’
tree	awítyaw, àwùr
wood	àwùr
branch (twig)	kuráy
trunk	úfwi á wityáw
root	ʃer
bark (of tree)	háɓop
shell (peel)	háɓop
leaf (gen.)	hú’aʃ
flower	abúf
fruit	amwál
thorn	agírí
straw (stalks)	yíʃel
grain	ʃinjá
mushroom	arámbôk
kapok	arurúk
marrow, pulp	ʃetót
pawpaw	akapús
groundnut	àyìrbá
kolanut	gó:rò
banana	àyàbà, àtàrndòm
cowpea	àŋgìrèm
garden egg	aʃó
pumpkin	àmbulaŋ
gourd	aról
guinea-yam	àmùlò’
sweet potato	ruwul
cocoyam	ɓwàr
guinea corn	yaŋgon á yàs
millet (gen.)	aŋgáy
late millet (gen.)	aŋgáy
"early millet,
bulrush-millet"	aŋgáy
maize	yaŋgon ú sukpúk
fonio	fo’
okra	úndana
chili pepper	ambore
red sorrel	wanjaŋ
sesame	guni’, hârfí’
palm tree	àmàʃin
date-palm	àhàràjáw
oil-palm	àmàʃin
oil-palm	àmàʃin
sycamore, fig	àsùrùf
locust	àmùral
mahogany	àhàyàt
red silk cotton	mànjù
white silk cotton	mànjù
shea	gò:
"gum arabic
tree, red"	kisen
camwood	àfùʃin
field(s)	gòŋ
farm	gòŋ
"cultivated
ground (field)"	suŋgul, tuúr
fallow, unfarmed land	korós
soil	là’
"fence (around
farm)"	àrì
seed	arés
hoe (gen.)	ʃité’ a vát
plough	ʃité’
sickle	àbây
threshing	ʃaŋgot
bundle	muno’
"compound,
house"	aholoŋ
entrance hut	áɓî
doorway	wó ɓî
door	wó holoŋ
fence (gen.)	ari
stone wall	ánjâr, tugór
house	lá
grass hut	àbùt
room	túk
wall (of house)	kandí
roof	awár
veranda	bak
"ruin (of a
building)"	gifír
abandoned compound	gifír
bench	gírìŋ
chair	awutyaw á mumûn
bed	hâyná
mat	kábálàŋ
blanket	fata’
granary	kandiriŋ, pùk, yèn
rubbish heap	boŋa
well	tindó’
"vessel to draw
water"	hôl á yîn
"storage pot
(gen.)"	àlâŋ
broom, besom	àwâs
soap	kileŋ
bottle	andú
lamp	kàyàŋ
clay-pit	boŋa
mud-brick	là’
fire	mwan
flame	alés á mwan
fire-place, hearth	andêŋ
firewood	àwùr á mwan
pile of firewood	faŋ á àwùr
smoke	gilel
ashes	múrûf (cold a.),
axe (gen.)	agayá
handle	ruŋgul
cooking pot	muʃet á àtòl
"water carrying
pot"	àlâŋ, tumbi
water storage pot	àlâŋ, tumbi
cup	kíkyâw, àrede
dish	kwâŋ
knife	yiʃúk
spoon	àkúte
stirring stick	asú’
grinding stone	fùfùn
upper stone	aní’
mortar	kuɗúŋ
pestle	agúm
winnow	kaɓúr
calabash (gen.)	haw
"lid (circular
mat)"	muful
calabash sp.	haw
bottle gourd	andú
bag (gen.)	folo
bundle (gen.)	no’
food	wuɗéŋ
mush	awás
gruel	àfyè
"sauce, soup,
stew"	kiliŋ
corn, grain	ʃinjá
flour	wòt
oil	mar
palm oil	mar á maʃín
fat	fiɗól
butter	mar á randóŋ
foam	afwós
salt	fyáw
pepper	ambore
beer pot (gen.)	màlìs’àlàŋ à ʃú
beer (gen.)	aʃú
filter (for beer)	acicák
clothes	fatá’
cap	akámbùt
"robe (man's
gown)"	fatá’
belt, girdle	ànor, àjùk (women's belt), àwàrdàm (men)
penis sheath	yiʃwál
"woman's
loincloth"	àwàl (front), árè’ (back)
"scarf
(headcloth)"	rurwan
head-pad	hât
shoe, sandal	kpakasak
walking stick	ahó’ (men), ʃàw (women)
ring (finger)	ʃùk
bracelet	ʃùk
necklace	hirol
"earring (ear-
plug)"	àgur á gùt
beads	karɓwe
needle	baŋgyer
cotton	árurúk
thread	yêr
dye	ɓirís
plaiting	ɗumó
basket (gen.)	cèt
mat (gen.)	kabálaŋ
rope (gen.)	yèr
knot	cuná:l
leather	áre’
skin	áre’
pricker, awl	ɓaŋger
tan	lotál
smithery, forge	muleʃ
blacksmith	naáf á dûk cef
furnace	jil á dûk cef
bellows	fukút
blaze	alés á mwan
charcoal	aŋga’
ash	múrûf
iron (metal)	cef
iron-ore	cef á lwa’
anvil	àtis á muleʃ, huhúl
hammer	mariŋgi’ (modern hammer), dukúlum (round stone)
tongs (a pair of-)	ŋâw
chain	ajíjek
chisel	mutyé’
clay	là’
kiln	jil á fot là’
pot (gen.)	muʃét
handle of pot	joól
spout, nozzle	ɓò
adze	mutyé’
carve wood	fâl
wood	àwutyaw
sculpture	fálàl
market	jil á musó’
trade	juwíl
money	cef
cowry	karɓwe
bag	folo
merchant (gen.)	naáf á juwíl
butcher	naáf á hyewát liw
loss	fúrùl
debt	wulél
journey	yât
lorry	púrí mú mbwan
load	gula
relative	anyát
ancestor	adá a kalaŋ, adá à nvo’
father	adá
father my	adítyen
father your	adítya, adítyeʃ
"father his,
father her"	adítyes, adítyet
mother	yaáŋ
mother my	yaáŋ sin
mother your	yaáŋ sa
mother his, mother her	yaáŋ sis, yaáŋ sit
child	wí, pl. únôn
boy, son	wí má narí
daughter	wí útasiŋgí
baby	àkalijiw
husband	ná:ri
woman	nufwi, pl. asiŋgí
wife	nufwi a ɗirí
co-wife	jàmsìt
brother, elder	jaren á mban
"brother,
younger"	jaren a vát
sister, elder	cinesin á mbwan
sister, younger	cinesin a vát
"mother's
brother"	ʃiʃín
father's brother	jares á diten
mother's sister	cinísit tí yasín
father's sister	ànísis tá diten
grandmother	yáŋ ta diten
grandfather	ada á diten
grandson	wí à wítyen
granddaughter	wí ti wítyen
senior	mámban
in-law	ahén
mother-in-law	àkày
father-in-law	ahén
sister-in-law	àkày
bride	nufi a hway
bridegroom	nare a hway
bachelor	naáf á ɗàhòlòŋ
maiden, virgin	wí tasiŋgí
orphan	mucén
widow	lèn
lineage	arés
clan	arés
white man	masárá, malwya
poor	naáf á lèl
rich	àgòm
slave	muhór
guest (stranger)	aró
midwife	nufwi á mûs gír
age-mate	waya
age-group	waya
marriage	ɗiri
dowry	safát
twin	anjân
chief	sàf
king	sàf
queen	àkwìr (most beloved wife)
"chieftaincy,
(reign)"	gôm
royal family	hòrò
royal council	kòcòk á hòrò
palace	lá tí sàf, lá hòrò
tribut	gondo
law	málè’
"offence,
violation"	tyêk ɓúr
court	la a ɓúr
compensation	tálàl
defend	fâŋ, ʃetâl
"judge, pass a
sentence"	sîk ɓúr
divorce	ɗwal (leave husband), makar
theft	anjirát
murder	dukwal hai
thief	àcer
drum (gen.)	àŋgəŋgàŋ
"drum (hour
glass)"	útàŋgəŋgàŋ (small drum)
drumstick	awutyaw á cye àŋgəŋgàŋ
rattle	úcákây
bell	guŋgoréŋ
horn	njel (small), rugbá (big)
raft-zither	ɗìŋ
dance (gen.)	agó, ahsír
masquerade	tàrɓwàʃ
song	agó
feast (gen.)	àgot
priest (gen.)	naáf á tàrɓwàʃ
rainmaker	sàf á fo’
diviner	woró
"sorcerer,
wizard"	naáf abá:n, naáf á kaɗir
witchcraft	wó’ abá:n
ordeal	wara:t, sêr
god (high)	àdá: fàt
masquerades	ùrùn, màŋgà:m, munja, anjákawá:, tàrɓwàʃ, andòŋ, úkùk
ghost	aʃilím
spirit of a place	máhurúl
personal spirit	alú’
charm	ɓût wuɗén (charm to protect seeds)
"world or place
of dead"	naf á ndìk
sacrifice (gen.)	wòràt
circumcision	nyâf tá únôn
death	môt
unnatural death	mótòt á guyât
corpse	wû:n
grave (tomb)	yífof
funeral	ɓûr
second funeral	vô jíl
"facial markings,
scarification"	alé’
soul	alú’
taboo	málè’, lé’
book	hu’ á woróŋ
medicine man, herbalist	worá
medicine	ácu:r
poison	ácu:r
cough	ʃèm
fever	àlámwàn
sore, wound	àlèw
scar	ndasak
abscess	rûf
pus	àyìn á rûf, àyìn á mburíʃ
disease (gen.)	mót
malaria	alámwan
dysentery	makú:s, kàfò:r
nature	lá:
world	lá:
sky	afit
star	ʃinjórè
evening star	àkwìr tí ɗumbwás
north star	úʃoŋé’
Pleiades	únó rìnày
Orion	ʃukwá à púrí
moon (month)	ɗumbwás
sun	fat
rainbow	àtá màhòn
wind	hut
storm	àwúrà
cloud (gen.)	aréféf
rain cloud	aréféf
rain	yuhun
lightning	nzilwít
thunder	ndùrùm
hail	ʃir
dew	ʃinjir, muná:la
harmattan	hût rîn
"dust cloud
(fog) of harmattan"	aɓúk
south	ɓwyáw
north	ɓwyáw
west	jínikáʃ
east	ɗaháyaʃ
side	ɓwyáw
year	wíl
wet season	fì
dryness, aridity	humbíl
time	huron
day	rin
daylight	ta: rin
shade	célè’
shadow	àʃìlim
dawn	tá húnjil áʃe’
morning	tá húnjil
noon	tá rín
evening	tà mwànàt
night	màfò’
darkness	bîŋ
tomorrow	húnjil
yesterday	áŋgâ
today	rúmày
"days of the
week (gen.)"	muná:ní
last year	àmbwà tísát munâ:
next year	ùfòt tísat
past	ànvó á ʃaʃ
"country
(region)"	hòrò
ground	la’, ndìk
border	mukáráy
town	hòrò
village	hwéŋ
road	ta:r
path (way)	ta:r á ʃi
bridge	mé’, tàʃ, mágigíŋ
water	àyîn
spring (of water)	yirí àyîn, muhayat
river	àlè’
seasonal river	pok
riverbank	wo:le
lake (pond)	curuŋgul
marsh(land)	dìdèŋ
swamp, morass	rubón
mountain	àràm
hill	úyirí
rock	aram, áyí, támbà
cave	tí:r
clay	là’
sand	anjór
fine sand	anjór
"coarse sand,
gravel"	ʃòrôŋ
laterite	ahók
stone	áyí
pebble	háʃàr
dust	ɓú:rà
flow	múɗòr
shine (beam)	ndâ
white	ma fel
blue	mâ:fon ndi’ndí’
black	mâ:fon tínyá’
red	ma lwya
"green (blue like
leaves)"	arúrùm
1	hâ:m
2	wùl
3	kpán
4	pú’
5	hárá
6	hárâm
7	melo’
8	fúɗêt
9	yelâm
10	háhárá
11	(háhárá) mulgwá hâ:m
12	(háhárá) mulgwá wùl, re’
13	(háhárá) mulgwá kpán
14	(háhárá) mulgwá pú’
15	(háhárá) mulgwá hárá
16	(háhárá) mulgwá hárâm
17	(háhárá) mulgwá melo’
18	(háhárá) mulgwá fúɗet
19	(háhárá) mulgwá yelâm
20	háhárá wùl
21	háhárá wùl tú hâ:m
30	háhárá kpán
40	háhárá pú’
50	háhárá hárá
60	háhárá hárâm
70	háhárá melo’
80	háhárá fúɗêt
90	háhárá yelâm
100	ndìk
200	ndìk wùl
500	ndìk hárá
1000	ndìk wuri áʃaʃ háhárá
abuse, insult	ʃíràl
accompany (escort)	gyát lá
accustom	manay ti
agree	mun
allow	mun
answer	mun
"appear, come
out"	hôf lá
argue	(gyer) ʃweʃ
arrive	ndôk
ask (question)	lul
"avoid, abstain
from"	mun gwa
bake, burn, fire	fot
barter	kiŋger
bathe	ʃínjâ
be able	sjen
be astonished	yor
be still	man mbá
be tired	ʃwaál
beat (gen.)	dûk
beat drum	cí’ alilíŋ
become	mâ:n
become fat	ku’
become old	hwêr
beg, ask for	fwal, kabok
beget [zeugen]	gîr wí
begin	furál
bend	lúwìʃ tí
bite	gôr
bite a piece off	goral tá gu:r
blow (mouth)	fû’
blow (wind)	rîn
boil (up)	fos
borrow	hôf
bow down	magu’
bow down	magu’ á ndìk
branch	wêl
break (stick)	sîk
"break, smash
(pot)"	hará’
breathe	mafôs
brew	ɓôr aʃú
bring	gulâ hí
build (house)	ɓét
burn (tr.)	tulal mwan
buy	hyew
call (summon)	lal
carry (load)	tjek gulá
carry child	huru’
carry fire	têk mwan, hôl mwan
catch	gjer
catch up	wod mwát á kwès
cease	taŋ
change	ʃên lá
chase	ŋgâr yé’
cheat	dâŋ
chew	wó’ ti
choose, select	sakat
chop down (tree)	háy
cohabit	ká nufuy
combine, join	ʃilîm
come	kán ɗuúʃ
conquer	wó’ hòrò
cook	tòl
cough	gbùk
count	mbi’
cover (a pot)	vo
crawl	kambút
cross	lugwát
cultivate, till	hasí
cut	sík
cut (with knife)	sík
cut down	háy
cut marks	sîk alé’
dance	jìk, ʃir, go
decrease (intr.)	ɗyu’âl
defecate	fí
deny	gisen, ɓiŋgil
descend	ɗôr
destroy	tûl lá
die	môt
dig	tem, yaw
dig, excavate	yaw
dip in	sugwát ɗen
"disperse
(scatter) (intr.)"	ɓa:s tí
dive	nzalek
divide (share out)	kar
draw water	hôl áyîn
draw, pull out	ndô lá
dream	na ámbár
drink	del
drip	ndâ:l
drive away	ŋgâr
drop	wáàt
dry up	sinzyé
dry up (in sun)	ɓâ:s lá, nzé’ lá
dwell	mumun
eat	wo’
embrace	kutûm
embroider	nyêr tá:l
emigrate	gâ:l
enter	roát
equalize	sigá’
escape	pwêt
examine	mba, ŋgwalal
exceed	pakal, vuá:t
"exchange
(goods)"	ʃen
explain	fâr tí
extinguish (tr.)	ndêk lá
fall	fûr
fan	vît
fear	kucir
feed	wo’ tísi (‘)
feel	hal
ferment	nyêr
fight	mbàyàt
fill	kyalakal
filter, strain	cicak, tis
find	kwa:lí
finish	marál
fish	gyâr goʃé
fly	lú’ (fit)
fold	kwît
follow	gulá a wí
forbid	cà
forge	dûk cef
forget	watal a tèmá
freeze	záùmì
fry	faŋ
gather, collect	sô’, suɓut
germinate	mbya, ro
give	ndi
give back	tun tál
"give birth
(child)"	gir wí
glide, slip	tundúl
gnaw	gora:l
go (to)	mwat
go out	pâk lá
go up, mount	rê’
greet	ton
grind	ní’
grow	lá’
hang down	no’ gyolgyol
hang up	no’ ti hule’
harvest	hôm, karat
hate	gisél
heal	wotót
hear	hal
help	bum
hide (intr.)	malat
hide (tr.)	latál la
hit, punch	cí’, kûm
hold (s.t.)	gjeral
hollow out	huk lá
hunt	wâr
hurry	ŋgâ:s
increase (intr.)	walâ:l
jump	fîs
kick	ŋgwâk
kill	dukwál a hái, sakát (slaughter)
knead	laŋgá’
kneel down	tula rún
know (s.o.)	sjen
know (s.th.)	sjen
lack	kwâ:l gwa
land	ɗor
leak	nyêf
learn, imitate	sjên
leave	yôn
lend	hôf
lick	lo’
lie (tell lies)	far lan
lie down	yína ndìk
lift	tekat í fit
limp	ʃigyá:k
live	mafôs
look at	ŋgwalal wo
loosen	kutá lá laŋlaŋ
lose (s.t.)	nuk tí, wa’ tí
lose one’s way	manûk
laugh	legát
make (do)	sál
make a basket	ɗumó cèt
make, braid rope	huriʃ
marry	kuŋgo
"mature,
become ripe"	ni
measure	mbâ:
meet	tôf ká
melt	nî lá
milk	fóf
mix	laŋgá’
mould (pot)	ɓet muʃét
"move, stir
(intr.)"	yeral
obey	hâl tón
open (door)	ɓwalí
open (mouth)	ɓwalí
pass (by)	pâk tí
pay (for)	tâ:l
peel	biʃé’
pick	taŋ
pierce	bukál
pile (up)	so’al háy
plait hair	tindîl háy
"plant (e.g.
tomato)"	cun
play	nyinyáʃ
pluck out	mgbya
possess, have	tál
pound, stamp	dúk
pour (in)	kûs tí
pour out	kusá ti
pray	kabók fa:t
prepare tuwo	tòl
"press, hold
down"	tjerál
prick	tûl
protect	faŋ
pull	ndô
push	tuŋgwát
put	gîr
put in	gîr tí, gîr ɗjen
reach	ndôk
read	mbí’
receive	mus
reckon	ʃilim ambi’ la
refuse	gi- + Suffix
remain	kâ:t
remember	mbi’
repeat	tunâl háy, tasál ti
resemble	sôl fátì
rest	mafôs
"return, come
back"	tûn tí
ride	nyarék púrí
ridge up	far á hasí
roast (grill)	fot
roll	máʃiír
rot, decay	njérèl
round off	talâs
rub	ʃukút
rub off	hûk lá
run	nyêf
say	ne
scatter (tr.)	karat
scrape	kuŋgós
scratch	kuŋgós
see	ryál
seek	ha’
seize	tikal
sell	hyewâ:t
send (s.o. to do s.t.)	gyaát
separate	kâr tí
set bones	nó’ ŋgìʃyàwaʃ
set trap	deŋ ɗáŋgór
sew	sôr
shake	yeral
sharpen	ci’ál
shoot	basík
shout	gu’ jólwò
show (s.t.)	kof tí
shut, close	vo
sing	magó
sit (down)	man mumun
skin	lamó’
sleep	mwaát ɗiná
smell	ndo
smell	sundo
"smoke
(tobacco)"	del tá:bà
sneeze	dìʃ
snore	hiŋgar
sow	sut
"sow (seeds in
holes)"	fé’ arés
spend long time	yáʃ
spin (thread)	lom
spit	yila
"split, chop into
pieces"	bák
spread out	karat tí
"spread out in
sun to dry"	ɓas
squat	magu’
squeeze, wring out	huríʃ
stab (spear)	tûl
stand	zar
stand up	lifit muzar
steal	njir
"stick, push into
the ground"	ŋgwak á ndìk
strike fire	fú’ mwan
strip off	biʃé’
suck	nzaɓwet
suffer	del ʃùm
swallow	ɗulat
swear	seɗáàt
sweat	tundoy
sweep	wâs
swell (intr.)	kú’
swim	bîm
take	tek
"take away,
remove"	tjek lá
talk	findel
taste	hâl
teach	kôf tí
tear (tr.)	wyâ tí
tell	far
thank	palaŋ
think	mbi’, ben findel
thresh	ʃaŋgot, dúk
throw (gen.)	wu’
throw (stone)	wú’
throw spear	yây táy
tie (with rope)	nô’
tie knot	cunál
touch	ŋgyal
travel	ɗát yât
tremble	yá:rì
try	wod mwát
turn (round)	ʃirâl
turn round (intr.)	ʃiral
twist	húrîʃ
unload	tjek gulá la
untie	kutá lá
urinate	njar
vomit	hwâʃ
wait	zar
walk	yát
want	fûk
warm (o.s.) up	tefán yící
wash (body)	ʃínjâ
wash (clothes)	ʃinjâ tìndà
wash, clear, clean	ʃínjâ
wear (clothes)	kûs
weave	ɗumó
weed	yará:l
weep (cry)	ho
wet, be	lo
wet, make	kusál ayîn
whistle	susé’
widen (hole)	walal baŋ
winnow	vît fo’
winnow, fan	vit
wipe	hûk
work	sál amás
wrap, envelop	kwît
write	woróŋ
I just came	Yín kán ɗuúʃ
I am coming	Yin ma ɗuúʃ
"I am grateful, 
I am thankful"	yin palang fwet
Thank you very much	Palang fwet
Love	fuk
I love you	Yin fuk tish, Yin fuk tya
you love me	ya fuk yin
we love	ni fuk
